,prior_participation_open_house,prior_participation_instant_decision_day,prior_participation_on_campus_info_session,prior_participation_virtual_info_session,prior_participation_women_who_dare,prior_participation_regional_college_fair,prior_participation_hs_sharetime_info_session,prior_participation_challenger_program,prior_participation_cybersec_program,prior_participation_hs_info_session,prior_participation_hs_campus_visit,prior_participation_individual_campus_visit,prior_participation_workforce_development_class,prior_participation_corporate_training,prior_participation_teen_arts_fest,prior_participation_CCM_summer_camp,current_degree,motivation_computing_job,motivation_transfer_bachelors,motivation_hs_dual_enrollment,motivation_career_advancement,motivation_career_change,motivation_profession_development,motivation_job_displacement,motivation_relocation,motivation_keep_current_in_tech,motivation_IT_certification,motivation_financial,motivation_personal_enrichment,info_source_hs_guidance_counselor,info_source_hs_teacher,info_source_ccm_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_workforce_development,info_source_NJ_workforce_development,info_source_other
221,No,No,Yes,Not Sure,No,No,Not Sure,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
222,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Don't recall,No,No,No,No,No,No
224,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
225,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
227,No,No,No,No,No,No,No,Not Sure,Not Sure,Not Sure,Not Sure,No,No,No,No,No,Information Technology,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes
228,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Information Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
229,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Don't recall,Don't recall,Don't recall
230,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
231,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
232,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No
233,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
235,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
236,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
237,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
238,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Don't recall
239,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
240,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
241,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes
242,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes
243,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
244,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
